0 1 2
0 1 3
0 1 4
0 1 5
0 1 6
0 1 7
0 1 8
0 1 9
0 1 10
0 1 12
0 1 13
0 1 14
0 1 15
0 1 16
0 1 17
0 1 18
0 1 19
0 1 21
0 1 22
0 1 23
0 1 25
0 1 26
0 1 29
0 1 31
0 1 33
0 1 34
0 1 35
0 1 36
0 1 37
0 1 38
0 1 39
0 1 40
0 1 41
0 1 44
0 1 46
0 1 48
0 1 50
0 1 51
0 1 53
0 1 55
0 1 57
0 1 59
0 1 61
0 1 63
0 1 66
0 1 68
0 1 69
0 1 72
0 1 74
0 1 76
0 1 78
0 2 4
0 2 6
0 2 7
0 2 8
0 2 9
0 2 10
0 2 13
0 2 18
0 2 22
0 2 23
0 2 25
0 2 26
0 2 33
0 2 34
0 2 35
0 2 36
0 2 38
0 2 39
0 2 40
0 2 41
0 2 50
0 2 51
0 2 53
0 2 69
0 2 76
0 3 4
0 3 6
0 3 7
0 3 8
0 3 9
0 3 18
0 3 22
0 3 23
0 3 25
0 3 26
0 3 34
0 3 35
0 3 36
0 3 38
0 3 39
0 3 41
0 3 50
0 3 51
0 3 53
0 3 69
0 3 76
0 4 5
0 4 6
0 4 7
0 4 8
0 4 9
0 4 10
0 4 12
0 4 13
0 4 14
0 4 15
0 4 16
0 4 17
0 4 18
0 4 19
0 4 21
0 4 22
0 4 23
0 4 25
0 4 26
0 4 29
0 4 31
0 4 33
0 4 34
0 4 35
0 4 36
0 4 37
0 4 38
0 4 39
0 4 40
0 4 41
0 4 44
0 4 46
0 4 48
0 4 50
0 4 51
0 4 53
0 4 55
0 4 57
0 4 59
0 4 61
0 4 63
0 4 66
0 4 68
0 4 69
0 4 72
0 4 74
0 4 76
0 4 78
0 5 6
0 5 7
0 5 8
0 5 9
0 5 18
0 5 23
0 5 25
0 5 26
0 5 34
0 5 35
0 5 36
0 5 38
0 5 41
0 5 50
0 5 51
0 5 53
0 5 69
0 5 76
0 6 7
0 6 8
0 6 9
0 6 10
0 6 12
0 6 13
0 6 14
0 6 15
0 6 16
0 6 17
0 6 18
0 6 19
0 6 21
0 6 22
0 6 23
0 6 25
0 6 26
0 6 29
0 6 31
0 6 33
0 6 34
0 6 35
0 6 36
0 6 37
0 6 38
0 6 39
0 6 40
0 6 41
0 6 44
0 6 46
0 6 48
0 6 50
0 6 51
0 6 53
0 6 55
0 6 57
0 6 59
0 6 61
0 6 63
0 6 66
0 6 68
0 6 69
0 6 72
0 6 74
0 6 76
0 6 78
0 7 8
0 7 9
0 7 10
0 7 12
0 7 13
0 7 14
0 7 15
0 7 16
